salesorderid,subtotal
65896,34.98
65929,629.45
65948,1750.98
65891,53.99
65931,2297.28
65899,9.99
65946,1714.97
66422,2418.05
66406,2461.97
66405,2359.98
66407,2395.96
66396,66.96
66384,2.29
66391,119.98
66881,1174.48
66865,597.26
66862,45.95
66878,561.48
66876,2393.06
66863,2479.94
66846,119.98
66879,685.47
67437,45.22
67456,2397.91
67455,578.96
67458,2342.92
67454,604.96
67434,63.97
67435,64.97
68018,567.76
68016,2393.06
67983,53.95
67980,2.29
68019,561.48
68005,2482.23
67981,33.98
68004,56.97
67988,32.28
68471,63.97
68508,2452.34
68511,2395.96
68486,121.57
68485,95.57
68499,30.97
68530,1205.47
68505,42.28
68532,1214.46
68494,68.49
68921,99.47
68929,2369.96
68944,1775.47
68924,2359.98
68902,93.46
68928,2316.97
68905,31.28
69700,120.95
69703,2369.97
70293,2316.97
70302,1273.32
70306,1700.99
70287,42.28
70304,1170.48
70286,198.99
70294,2341.97
70274,54.98
70265,34.89
70290,898.46
70832,53.99
70834,36.59
70865,1785.97
70833,49.99
70864,1768.96
71294,29.48
71342,1760.47
71300,32.6
71322,2342.92
71302,94.48
71320,2457.33
71304,64.47
71343,1789.45
71326,2404.46
71299,34.98
72057,1785.97
72042,2440.47
72043,893.47
72051,806.32
72044,804.48
72001,7.95
72052,1249.84
72023,54.98
72017,45.58
72022,54.98
72056,1750.98
72617,839.46
72598,59.98
72628,1237.82
72600,47.96
72631,1188.46
72635,1700.99
72604,74.46
72632,1198.97
72634,1728.27
72620,2332.28
73234,2297.28
73244,600.46
73232,2345.22
73231,777.44
73240,1223.84
73243,2433.04
73688,2379.95
73697,2398.05
73687,617.91
73643,22.97
73672,77.92
73683,48.98
73669,29.99
73698,2420.34
73682,39.99
73670,49.97
74195,36.27
74212,71.96
74185,7.95
74216,71.95
74449,34.98
74469,35.0
74448,32.27
74695,2.29
74931,59.98
74928,34.98
74927,42.93
74932,98.96
51329,810.32
51458,1759.97
51924,7.95
51938,32.6
51959,2319.26
51939,42.93
51958,2451.3
51935,33.98
52337,60.47
52339,34.98
52737,45.58
52735,156.27
52765,791.32
52758,2388.96
52759,2374.98
53095,34.98
53084,2.29
53116,42.28
53088,2.29
53091,38.88
53718,1143.46
53685,65.95
53701,39.99
53702,85.48
53714,553.97
54130,198.99
54115,96.92
54541,88.97
54544,67.59
54557,12.94
54583,2492.02
54539,25.48
54540,23.78
54551,44.98
54900,64.98
54902,94.48
54930,1170.48
54920,604.96
54921,839.48
55416,64.47
55442,2319.99
55430,35.0
55432,35.0
55407,147.28
55415,15.23
55913,2386.94
55893,124.99
55919,1174.48
55916,751.34
55881,64.47
55890,68.49
55894,27.92
55878,2.29
55907,71.95
56295,123.98
56315,2316.97
56326,742.35
56314,2578.43
56289,38.88
56316,2375.95
56280,53.99
56682,2334.98
56658,49.97
57265,37.27
57288,2316.97
57267,9.99
57286,839.48
57270,133.49
57262,37.27
57264,36.59
57296,2462.55
57712,22.93
57743,1170.48
57728,2461.97
57726,85.48
57729,2394.46
57731,2316.97
58168,39.99
58155,54.98
58186,588.96
58150,94.46
58143,2.29
58518,2478.34
58504,68.49
58498,96.07
58537,2393.06
58529,2430.95
58523,799.48
58538,562.96
58500,74.46
58524,2354.47
58493,93.46
59157,71.58
59178,42.28
59185,2451.3
59196,1249.84
59201,1754.98
59183,50.23
59756,1773.95
59736,71.97
59717,67.49
59728,77.92
59720,29.99
59727,78.48
59749,2319.26
60252,120.0
60270,64.97
60269,49.48
60303,2433.04
60284,42.28
60311,1714.97
60290,2366.94
60288,848.47
60267,75.48
60820,2453.04
60785,84.97
60796,46.47
60781,71.58
60823,599.47
60811,2297.28
60806,39.99
60812,2394.97
61395,67.93
61389,32.6
61372,7.95
61414,2354.98
61413,2309.97
61901,839.48
61882,85.48
61869,32.6
61917,1174.48
61904,2384.96
61871,42.93
61867,110.46
61875,77.92
61868,96.07
62387,2460.99
62380,2404.95
62805,2354.99
62796,59.49
62786,56.97
62777,71.58
62802,621.96
63490,1143.46
63486,771.34
63966,119.98
63977,889.47
63963,38.88
63980,2344.96
63961,23.78
63990,1775.47
63976,42.28
63989,600.46
64473,63.47
64476,6.28
64511,1254.08
64518,1174.48
64472,6.28
64470,62.98
64516,607.96
64515,553.97
64838,2362.27
64834,863.97
64815,99.96
64830,64.93
64831,35.0
65490,2338.97
65488,37.29
65456,7.95
65501,553.97
65469,71.58
65467,34.89
65468,86.58
65485,39.99
65965,83.97
65991,56.97
65999,2364.96
65992,42.28
66494,1793.47
66457,99.96
66453,64.97
66473,42.28
66458,78.48
66937,548.98
66920,769.49
66917,56.97
66919,618.98
67568,1760.47
67505,28.99
67510,29.99
67514,77.96
67567,1184.46
67511,81.45
68063,2411.95
68040,93.46
68076,1120.49
68575,64.47
68595,2325.96
68611,2507.03
68588,42.28
68594,659.45
68560,18.97
68617,1750.98
68610,2448.04
68591,100.46
68597,2380.47
68599,2329.98
68565,32.28
68573,119.98
69012,649.46
68994,42.28
69016,1120.49
68973,93.46
68968,63.97
68980,61.96
69767,2365.94
69745,99.96
69746,37.27
69783,2438.06
69787,1205.47
69766,2309.97
69751,56.97
70328,193.89
70354,2322.28
70355,2319.99
70325,2.29
70365,2447.05
70336,67.97
70887,36.27
70889,32.28
70885,6.28
71400,140.45
71370,88.42
71352,74.48
71382,61.96
72078,84.96
72077,60.47
72064,84.98
72663,53.99
72694,589.26
72683,37.29
72697,2341.97
73278,9.99
73308,2322.28
73279,49.97
73315,756.33
73305,2318.96
73259,178.98
73318,556.26
73273,2.29
73314,1243.84
73730,27.77
73769,2473.05
73735,71.58
73753,2359.98
73754,2319.99
73770,2398.05
74247,124.97
74248,37.29
74484,36.59
74501,42.28
74470,120.0
74486,29.99
74471,7.95
74729,96.07
74734,94.48
74730,59.98
74737,64.47
74726,53.99
74733,99.96
74740,71.97
74944,126.95
74960,185.97
74959,54.96
74968,71.97
74950,74.46
74967,91.97
51347,2351.96
51348,2329.99
51355,563.77
51466,1728.27
51468,2414.99
51474,1170.48
51465,1785.97
51467,1768.96
51596,1249.84
51994,84.92
51981,53.99
51996,56.97
51992,119.98
52004,564.98
52402,561.48
52379,36.59
52388,44.91
52384,94.48
52376,74.48
52803,58.98
52798,119.98
52834,588.96
52823,42.28
52794,82.59
52795,78.96
52827,2369.97
53169,2357.28
53177,1251.12
53150,94.48
53145,64.97
53170,2351.96
53147,64.97
53178,548.98
53760,2366.94
53732,60.47
53737,34.98
53735,34.98
53759,2354.98
53757,2514.93
53762,2414.99
53754,80.96
53740,34.98
53753,35.0
54177,608.96
54174,2400.95
54154,34.98
54156,124.99
54607,74.48
54653,1183.47
54638,56.97
54639,1764.96
54643,800.46
54642,614.96
54641,589.96
54646,2297.28
54616,34.98
54951,30.97
54961,42.28
54943,37.97
54946,34.98
54947,71.58
55470,34.98
55500,600.46
55487,42.28
55473,119.98
55465,173.47
55488,69.92
55927,77.48
55940,119.98
55956,2376.96
55937,37.27
55955,1729.97
55965,553.97
56362,579.97
56373,1249.84
56722,123.98
56741,2369.97
56735,36.96
56717,34.98
56742,2350.96
56754,1199.46
57325,34.98
57316,53.99
57348,579.97
57351,1714.97
57340,42.28
57347,80.96
57326,29.99
57328,23.97
57355,2316.97
57320,77.96
57321,31.28
57349,1760.47
57782,2351.96
57761,49.97
57760,49.48
58201,36.27
58206,36.27
58207,45.58
58214,22.93
58231,42.28
58233,30.97
58212,32.28
58209,41.59
58205,49.48
58554,122.96
58555,92.08
58553,21.49
58570,2363.96
59227,37.27
59231,56.97
59246,2376.96
59264,588.96
59221,31.27
59229,78.48
59244,569.97
59767,66.97
59766,11.94
59784,106.96
59804,2316.97
59769,2.29
59772,91.58
59802,839.48
59803,646.45
59805,2342.92
59768,67.49
59774,93.96
59819,750.3
59801,769.49
59822,2398.05
59807,2297.28
60363,2329.98
60324,48.97
60863,124.99
60859,32.28
60856,121.57
60877,2329.99
60862,64.47
61448,29.99
61478,1158.46
61456,68.49
61948,777.44
61964,600.46
61962,2447.05
62463,588.96
62460,756.33
62446,2312.26
62462,553.97
62425,91.95
62422,58.98
62418,23.97
62419,9.99
62441,2451.3
62445,2406.94
62835,28.99
62854,2380.47
62839,58.98
62851,839.48
62852,769.49
62857,2334.97
62838,43.97
62858,2391.96
62856,2351.96
62837,36.59
62866,1231.12
62833,36.27
63515,93.48
63508,120.0
63544,1700.99
63512,59.98
63541,2384.07
63509,151.27
64023,132.97
64013,64.47
64014,36.27
64016,29.98
64046,607.96
64020,9.99
64022,128.97
64586,2334.46
64583,2466.32
64603,2393.06
64575,50.23
64589,2369.96
64551,79.97
64584,801.77
64886,621.96
64892,1197.97
64890,2407.04
64878,71.97
64883,99.47
65556,1700.99
65514,63.47
65517,47.42
65537,39.99
65540,664.89
65550,2407.04
66065,777.34
66073,1750.98
66036,49.99
66069,1188.46
66055,2391.96
66038,64.97
66056,2334.98
66540,81.46
66558,1149.47
66544,2362.27
66552,1249.84
66968,64.98
66970,94.48
66993,801.77
66964,71.58
66986,159.99
67009,1179.97
67637,1750.98
67595,96.07
67635,1170.48
67592,71.58
67603,30.97
67636,1700.99
67600,119.98
67590,23.78
67604,84.96
67633,2516.54
68112,29.99
68133,2317.92
68116,133.49
68140,2407.04
68128,81.46
68145,1754.98
68142,1214.85
68103,62.98
68110,130.56
68668,801.83
68642,32.6
68636,2.29
68670,567.76
69036,31.27
69061,2319.99
69041,37.27
69076,1228.83
69062,2344.26
69808,36.27
69836,639.45
69857,603.49
69854,575.71
70390,30.48
70418,42.28
70443,600.46
70438,2393.06
70425,2406.95
70422,554.97
70429,2294.99
70399,133.49
70404,64.47
70391,33.98
70440,561.92
70392,51.96
70420,56.97
70988,2341.97
70996,2319.99
70991,2423.48
70986,2380.47
71004,1249.84
71012,588.96
71010,638.95
70994,2317.92
70961,23.97
70979,89.98
71478,563.77
71461,2351.96
71475,1274.33
71443,64.47
71439,37.27
71482,1775.47
71479,1120.49
71435,53.99
71465,2309.97
72175,616.95
72179,1783.96
72164,2294.99
72151,73.97
72173,2420.34
72163,586.97
72146,89.46
72149,94.48
72154,41.95
72753,45.95
72782,1729.97
72769,2329.98
72776,780.82
72745,44.98
72780,673.97
72749,67.97
72746,39.47
73354,54.25
73379,2351.96
73361,26.97
73402,548.98
73399,2407.04
73358,119.98
73363,56.97
73407,1174.48
73400,2469.05
73376,39.99
73818,34.98
73836,2357.28
73848,1283.82
73809,67.49
74263,152.6
74267,98.96
74264,32.28
74517,9.99
74510,63.97
74529,35.0
74763,121.57
74779,207.28
74978,2.29
74976,63.47
74979,84.96
74982,79.97
51369,2398.05
51371,562.96
51362,1732.26
51497,1151.76
51494,751.34
51614,796.34
51608,777.44
51610,2371.96
51615,2393.06
51616,556.26
52036,29.98
52058,2465.93
52055,36.96
52044,67.97
52062,1223.84
52038,29.99
52039,78.96
52432,119.98
52445,42.28
52429,32.28
52459,548.98
52858,29.99
52861,37.27
52855,152.6
53198,2.29
53228,42.28
53204,64.97
53235,2297.28
53239,548.98
53786,2.29
53792,78.48
53826,553.97
53787,2.29
53803,61.96
53798,54.98
53818,137.96
53793,148.47
53805,124.99
53821,839.48
54209,89.46
54244,578.46
54230,47.94
54216,37.27
54231,37.29
54663,59.48
54676,67.93
54703,2414.99
54685,46.47
54679,73.96
54697,141.98
55015,699.97
54989,21.49
54994,34.98
55012,39.99
54991,32.28
55014,124.97
55537,839.48
55514,6.28
55520,46.83
55515,67.49
56013,1194.97
55988,49.97
56012,1228.83
55971,7.95
56397,133.47
56396,46.83
56419,81.46
56791,548.98
56769,29.98
56767,37.97
57412,2334.97
57410,2376.96
57386,96.07
57407,71.97
57393,123.98
57390,133.47
57389,34.89
57824,99.47
58276,618.47
58280,2393.06
58283,556.26
58602,32.6
58604,29.98
58606,23.97
58597,53.99
58624,2366.96
58605,32.28
59318,39.99
59338,1728.27
59321,593.98
59293,36.27
59322,2401.45
59336,1174.48
59878,2416.45
59875,2391.94
59898,1725.98
59869,35.0
59891,2407.04
59874,579.97
59877,2341.97
59888,1249.84
60415,1764.96
60438,2453.04
60413,39.99
60397,89.46
60421,2394.97
60398,37.27
60419,2322.28
60444,1179.97
60928,2423.48
60943,2438.06
60949,599.47
60927,2366.96
60940,841.31
60945,616.95
60926,617.95
60942,1228.83
61519,2351.96
61498,143.78
61494,10.24
61520,2396.96
61534,616.91
61493,53.99
61503,29.99
61535,548.98
61501,71.58
61532,562.96
62005,2396.96
61986,119.96
61972,7.95
61983,23.78
62014,2384.07
62522,742.35
62510,2492.32
62521,1268.84
62509,30.97
62485,165.28
62888,2.29
62918,124.97
62898,58.95
62890,49.99
62917,35.0
62904,84.92
62938,562.96
63573,49.97
63610,1183.47
63596,769.49
63591,75.97
63579,12.94
63615,1709.98
64082,64.97
64102,2415.46
64097,89.96
64632,157.27
64671,1723.96
64668,1273.32
64655,2334.97
64652,839.48
64635,49.97
64651,913.96
64625,138.97
64907,11.94
64908,63.97
64928,99.47
64913,77.92
64940,777.34
65617,2469.05
65572,71.58
65616,2393.06
65580,133.49
65584,26.97
65563,98.96
65597,35.0
65571,28.99
66144,2384.07
66127,56.98
66110,54.98
66148,1197.41
66100,77.96
66113,30.97
66115,30.97
66096,49.99
66593,23.97
66631,1134.47
66603,71.95
66596,59.98
66585,36.59
66592,49.97
66598,123.98
66625,2406.0
66622,777.34
66600,166.28
66583,23.78
66616,563.96
67033,71.58
67057,37.29
67039,49.97
67029,2.29
67066,2294.99
67078,1120.49
67065,2366.96
67034,32.6
67042,98.96
67068,2391.96
67663,37.27
67693,1273.32
67658,36.27
67659,61.08
67657,75.47
67669,119.98
68194,1764.96
68186,639.95
68184,128.97
68171,64.97
68187,848.47
68164,190.27
68173,49.97
68698,32.6
68694,60.47
68718,2319.99
68715,633.96
